timestamp,beats per minute,data source
2017-10-08T00:48:40Z,67.0,Charge HR
2017-10-08T00:48:50Z,66.0,Charge HR
2017-10-08T00:49:00Z,69.0,Charge HR
2017-10-08T00:49:10Z,67.0,Charge HR
2017-10-08T00:49:25Z,67.0,Charge HR
2017-10-08T00:49:30Z,66.0,Charge HR
2017-10-08T00:49:40Z,68.0,Charge HR
2017-10-08T00:49:45Z,69.0,Charge HR
2017-10-08T00:49:50Z,64.0,Charge HR
2017-10-08T00:49:55Z,65.0,Charge HR
2017-10-08T00:50:00Z,64.0,Charge HR
2017-10-08T00:50:15Z,64.0,Charge HR
2017-10-08T00:50:30Z,64.0,Charge HR
2017-10-08T00:50:40Z,61.0,Charge HR
2017-10-08T00:50:45Z,61.0,Charge HR
2017-10-08T00:51:00Z,60.0,Charge HR
2017-10-08T00:51:05Z,59.0,Charge HR
2017-10-08T00:51:20Z,59.0,Charge HR
2017-10-08T00:51:35Z,59.0,Charge HR
2017-10-08T00:51:40Z,57.0,Charge HR
2017-10-08T00:51:55Z,57.0,Charge HR
2017-10-08T00:52:00Z,60.0,Charge HR
2017-10-08T00:52:10Z,61.0,Charge HR
2017-10-08T00:52:25Z,62.0,Charge HR
2017-10-08T00:52:30Z,65.0,Charge HR
2017-10-08T00:52:35Z,64.0,Charge HR
2017-10-08T00:52:50Z,61.0,Charge HR
2017-10-08T00:53:00Z,60.0,Charge HR
2017-10-08T00:53:10Z,56.0,Charge HR
2017-10-08T00:53:15Z,56.0,Charge HR
2017-10-08T00:53:20Z,59.0,Charge HR
2017-10-08T00:53:30Z,58.0,Charge HR
2017-10-08T00:53:40Z,60.0,Charge HR
2017-10-08T00:53:50Z,61.0,Charge HR
2017-10-08T00:54:05Z,61.0,Charge HR
2017-10-08T00:54:10Z,65.0,Charge HR
2017-10-08T00:54:20Z,65.0,Charge HR
2017-10-08T00:54:35Z,65.0,Charge HR
2017-10-08T00:54:40Z,62.0,Charge HR
2017-10-08T00:54:50Z,61.0,Charge HR
2017-10-08T00:55:00Z,60.0,Charge HR
2017-10-08T00:55:10Z,60.0,Charge HR
2017-10-08T00:55:20Z,60.0,Charge HR
2017-10-08T00:55:35Z,61.0,Charge HR
2017-10-08T00:55:50Z,58.0,Charge HR
2017-10-08T00:56:00Z,59.0,Charge HR
2017-10-08T00:56:15Z,59.0,Charge HR
2017-10-08T00:56:20Z,62.0,Charge HR
2017-10-08T00:56:30Z,61.0,Charge HR
2017-10-08T00:56:35Z,61.0,Charge HR
